excel_codigo,excel_nome,excel_endereco,excel_cidade,db,db_id,db_numero,db_nome,db_endereco,db_cidade,score,matched
1,MASTER DISTRIBUIDORA OTICA LTDA,"RUA AGOSTINHO STEFANELLO, 968 ",VITORINO,WMS_BD\wms_database_test.mdb,917,,MASTER DISTRIBUIDORA OTICA LTDA,"RUA AGOSTINHO STEFANELLO, 968",VITORINO,1.0,True
1,MASTER DISTRIBUIDORA OTICA LTDA,"RUA AGOSTINHO STEFANELLO, 968 ",VITORINO,WMS_BD\wms_database.mdb,413,,MASTER DISTRIBUIDORA OTICA LTDA,"RUA AGOSTINHO STEFANELLO, 968",VITORINO,1.0,True
1,MASTER DISTRIBUIDORA OTICA LTDA,"RUA AGOSTINHO STEFANELLO, 968 ",VITORINO,WMS_Server\wms_database.mdb,408,,MASTER DISTRIBUIDORA OTICA LTDA,"RUA AGOSTINHO STEFANELLO, 968",VITORINO,1.0,True
2,MATRIX LABORATORIO E DISTRIBUIDORA ,"RUA RUA AGOSTINHO STEFANELLO, 968 ",VITORINO,WMS_BD\wms_database_test.mdb,1,2,MATRIX LABORATORIO E DISTRIBUIDORA,"RUA RUA AGOSTINHO STEFANELLO, 968",VITORINO,1.0,True
2,MATRIX LABORATORIO E DISTRIBUIDORA ,"RUA RUA AGOSTINHO STEFANELLO, 968 ",VITORINO,WMS_BD\wms_database.mdb,6,2,MATRIX LABORATORIO E DISTRIBUIDORA,"RUA RUA AGOSTINHO STEFANELLO, 968",VITORINO,1.0,True
2,MATRIX LABORATORIO E DISTRIBUIDORA ,"RUA RUA AGOSTINHO STEFANELLO, 968 ",VITORINO,WMS_Server\wms_database.mdb,1,2,MATRIX LABORATORIO E DISTRIBUIDORA,"RUA RUA AGOSTINHO STEFANELLO, 968",VITORINO,1.0,True
3,A.M.X DISTRIBUIDORA LTDA,"RUA IPIRANGA, 95 ",ICARA,WMS_BD\wms_database_test.mdb,498,3,A.M.X DISTRIBUIDORA LTDA,"RUA IPIRANGA, 95",ICARA,1.0,True
3,A.M.X DISTRIBUIDORA LTDA,"RUA IPIRANGA, 95 ",ICARA,WMS_BD\wms_database.mdb,414,,A.M.X DISTRIBUIDORA LTDA,"RUA IPIRANGA, 95",ICARA,1.0,True
3,A.M.X DISTRIBUIDORA LTDA,"RUA IPIRANGA, 95 ",ICARA,WMS_Server\wms_database.mdb,393,3,A.M.X DISTRIBUIDORA LTDA,"RUA IPIRANGA, 95",ICARA,1.0,True
4,GRUPO ACERT,"RUA SILVA JARDIM, 388 ATé 464/465",ARACATUBA,WMS_BD\wms_database_test.mdb,3,4,GRUPO ACERT,"RUA SILVA JARDIM, 388 ATé 464/465",ARACATUBA,1.0,True
4,GRUPO ACERT,"RUA SILVA JARDIM, 388 ATé 464/465",ARACATUBA,WMS_BD\wms_database.mdb,415,,GRUPO ACERT,"RUA SILVA JARDIM, 388 ATé 464/465",ARACATUBA,1.0,True
4,GRUPO ACERT,"RUA SILVA JARDIM, 388 ATé 464/465",ARACATUBA,WMS_Server\wms_database.mdb,2,4,GRUPO ACERT,"RUA SILVA JARDIM, 388 ATé 464/465",ARACATUBA,1.0,True
5,CASAN,"RUA EMíLIO BLUM, 89 PREDIO",FLORIANOPOLIS,WMS_BD\wms_database_test.mdb,918,,CASAN,"RUA EMíLIO BLUM, 89 PREDIO",FLORIANOPOLIS,1.0,True
