WMS — Relatório de Período
Período,05/06/2026 até 05/06/2026
Gerado em,05/06/2026 09:49:15
Unidade,MASTER

RESUMO
Pedidos cadastrados no período,6
Pedidos retirados no período,3
Pedidos ativos no fechamento,556

=== A. CADASTRADOS NO PERÍODO ===
PEDIDO,CAIXA,POSIÇÃO,DATA PEDIDO,CADASTRADO EM,CADASTRADO POR,SETOR
10113660,02679,P-01-04,05/06/2026 08:46:02,05/06/2026 08:46:02,izabely,AR
10118758,20038,P-02-05,05/06/2026 08:46:30,05/06/2026 08:46:30,izabely,AR
10118869,00102,P-02-02,05/06/2026 08:47:10,05/06/2026 08:47:10,izabely,AR
10118664,02351,P-04-05,05/06/2026 08:51:59,05/06/2026 08:51:59,izabely,AR
10118806,02363,P-04-05,05/06/2026 08:52:02,05/06/2026 08:52:02,izabely,AR
10119125,01487,P-04-05,05/06/2026 08:52:05,05/06/2026 08:52:05,izabely,AR

=== B. RETIRADOS NO PERÍODO ===
PEDIDO,CAIXA,POSIÇÃO,RETIRADO EM,RETIRADO POR,SETOR
10110866,01380,P-01-04,05/06/2026 07:10:19,izabely,AR
10110834,01251,P-02-05,05/06/2026 08:22:06,izabely,AR
10109757,2181,P-02-02,05/06/2026 08:44:53,izabely,AR

=== C. ATIVOS NO FECHAMENTO ===
PEDIDO,CAIXA,POSIÇÃO,CADASTRADO EM,DIAS NO ESTOQUE,SETOR
10114995,2512,P-01-06,29/05/2026 17:29:36,6,AR
10113402,01438,P-01-06,29/05/2026 17:29:48,6,AR
10114991,00474,P-01-06,29/05/2026 17:30:39,6,AR
10113694,01852,P-01-06,29/05/2026 17:30:46,6,AR
10053089,00104,P-01-06,29/05/2026 17:30:54,6,AR
10113749,01894,P-01-06,29/05/2026 17:31:08,6,AR
10112943,02030,P-01-06,29/05/2026 17:31:19,6,AR
10114986,01834,P-01-06,29/05/2026 17:31:22,6,AR
10114904,01544,P-01-06,29/05/2026 17:32:00,6,AR
10113766,01899,P-01-06,29/05/2026 17:32:06,6,AR
10116270,01454,P-01-06,29/05/2026 17:32:17,6,AR
10113846,00027,P-01-06,29/05/2026 17:32:20,6,AR
10115235,01859,P-01-06,29/05/2026 17:32:23,6,AR
10113139,01910,P-01-06,29/05/2026 17:32:40,6,AR
10115081,02207,P-01-06,29/05/2026 17:32:43,6,AR
10111040,02294,P-01-06,29/05/2026 17:38:42,6,AR
10113653,20122,P-01-06,29/05/2026 17:38:49,6,AR
10111831,02398,P-01-05,29/05/2026 17:39:17,6,AR
10114824,01550,P-01-05,29/05/2026 17:40:52,6,AR
10114946,00376,P-01-05,29/05/2026 17:40:57,6,AR
10113679,1285,P-01-05,29/05/2026 17:41:32,6,AR
10115236,02227,P-01-05,29/05/2026 17:41:36,6,AR
10115228,1499,P-01-05,29/05/2026 17:41:46,6,AR
10112418,20147,P-01-05,29/05/2026 17:41:51,6,AR
10116221,02022,P-01-05,29/05/2026 17:41:55,6,AR
10115842,2570,P-01-05,29/05/2026 17:42:08,6,AR
10102847,00472,P-01-05,29/05/2026 17:42:16,6,AR
10115696,02738,P-01-05,29/05/2026 17:42:39,6,AR
